record_id,fir_number,caller_number,receiver_number,call_type,duration_seconds,timestamp,cell_tower_location
CDR-2c46ab1b,0573/2026,+91-5203140569,+91-1044800820,Incoming,723,2026-08-24 22:22:59,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-697147f1,0225/2026,+91-1608300776,+91-9641070073,SMS,882,2026-07-27 02:29:13,"Madanpura, Baban Galli, Byculla (W)"
CDR-bca6e856,0683/2026,+91-0908250618,+91-3923216148,Incoming,382,2026-08-01 05:04:02,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-f11ae902,0430/2026,+91-6463599241,+91-3758973716,Outgoing,480,2026-07-16 15:30:37,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-30a06ab7,0123/2026,+91-2323764440,+91-9156712697,Incoming,679,2026-09-01 07:57:47,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-0d1e03ce,0168/2026,+91-9135444363,+91-0340298591,SMS,711,2026-07-19 22:52:26,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-057b2fce,0755/2026,+91-1359460122,+91-1364678894,SMS,833,2026-08-16 03:53:19,"Station Road Footpath, Agripada, Mumbai"
CDR-0af7ac06,0326/2026,+91-4631009912,+91-8163791530,Incoming,19,2026-07-31 09:53:37,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-d87a7e7e,0689/2026,+91-8000129596,+91-3997099578,Incoming,232,2026-07-15 15:08:59,"Madanpura, Baban Galli, Byculla (W)"
CDR-c6a10ae7,0104/2026,+91-7235641635,+91-7486245083,Incoming,230,2026-08-21 16:09:11,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-0262011d,0227/2026,+91-4277185805,+91-8418562933,Outgoing,462,2026-08-26 22:31:29,"Station Road Footpath, Agripada, Mumbai"
CDR-689a8b71,0353/2026,+91-1715766898,+91-7171626711,Outgoing,343,2026-08-27 04:46:31,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-84a306a3,0420/2026,+91-2023838998,+91-9080085208,Incoming,555,2026-08-05 10:17:48,"Station Road Footpath, Agripada, Mumbai"
CDR-ca5fd4ab,0286/2026,+91-4293362242,+91-1525809736,Outgoing,163,2026-08-19 07:30:27,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-ebae7ca9,0112/2026,+91-9749956561,+91-4702317695,Incoming,860,2026-08-09 04:43:46,"Station Road Footpath, Agripada, Mumbai"
CDR-c4c07817,0235/2026,+91-9386771558,+91-4521265079,Incoming,210,2026-08-11 10:50:23,"Madanpura, Baban Galli, Byculla (W)"
CDR-fbbad842,0460/2026,+91-1679781002,+91-5833469312,Outgoing,397,2026-08-31 20:21:07,"Station Road Footpath, Agripada, Mumbai"
CDR-ef3fd39b,0009/2026,+91-8771310836,+91-9204164298,SMS,589,2026-07-13 02:32:39,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-c172eb31,0468/2026,+91-0077344960,+91-2779148518,Incoming,791,2026-08-09 21:51:15,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-52e16785,0295/2026,+91-4501079897,+91-6161680532,SMS,718,2026-08-07 22:37:14,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-16ff5d9e,0545/2026,+91-3504184157,+91-8951032064,Incoming,741,2026-07-26 17:22:53,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-b00c414e,0460/2026,+91-2579426125,+91-5482105475,Outgoing,551,2026-09-02 19:30:39,"Station Road Footpath, Agripada, Mumbai"
CDR-f299b852,0233/2026,+91-8762291976,+91-0139452164,Incoming,382,2026-07-27 22:21:57,"Madanpura, Baban Galli, Byculla (W)"
CDR-4f694fce,0777/2026,+91-2507232638,+91-4373688889,Incoming,344,2026-08-05 11:40:35,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-6accf278,0871/2026,+91-0277658032,+91-8267178405,Incoming,26,2026-07-31 06:41:21,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-7be17fb5,0895/2026,+91-7194825001,+91-7740381949,SMS,288,2026-08-13 00:49:52,"Madanpura, Baban Galli, Byculla (W)"
CDR-c41e6571,0881/2026,+91-2530358841,+91-8975030242,Incoming,513,2026-08-30 08:17:31,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-e1abf8df,0055/2026,+91-1681067925,+91-0162900589,Incoming,500,2026-07-22 01:05:39,"Station Road Footpath, Agripada, Mumbai"
CDR-6195e218,0762/2026,+91-9405178098,+91-0524161213,Outgoing,85,2026-07-14 04:40:29,"Madanpura, Baban Galli, Byculla (W)"
CDR-4325fc69,0977/2026,+91-8335561055,+91-5940579305,Incoming,264,2026-09-03 09:11:42,"Station Road Footpath, Agripada, Mumbai"
CDR-149cdd00,0760/2026,+91-7458410398,+91-3904615590,Outgoing,13,2026-08-10 14:46:06,"Madanpura, Baban Galli, Byculla (W)"
CDR-b64fe88c,0292/2026,+91-2343985265,+91-1980611562,Outgoing,361,2026-07-15 13:38:56,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-d2b947ad,0069/2026,+91-2971614670,+91-4778000151,SMS,545,2026-07-21 18:55:38,"Station Road Footpath, Agripada, Mumbai"
CDR-8344a93d,0660/2026,+91-9000406254,+91-2481972339,Incoming,238,2026-07-24 16:37:34,"Station Road Footpath, Agripada, Mumbai"
CDR-e9d6f3e0,0323/2026,+91-1554078824,+91-6939681756,Incoming,265,2026-07-23 11:17:00,"Madanpura, Baban Galli, Byculla (W)"
CDR-a83c3f3d,0943/2026,+91-3604313547,+91-0122059359,Outgoing,738,2026-08-16 03:54:30,"Station Road Footpath, Agripada, Mumbai"
CDR-1349b1d7,0173/2026,+91-7907250746,+91-7007685069,SMS,650,2026-08-20 03:38:42,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-0b385f9b,0734/2026,+91-6997065590,+91-7079832489,Incoming,369,2026-08-10 18:24:52,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-21d3dcb0,0021/2026,+91-5037744332,+91-1540172781,SMS,554,2026-09-01 03:37:48,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-f2381f15,0439/2026,+91-8579159927,+91-8352292464,SMS,496,2026-07-15 10:07:40,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-f0e14df3,0252/2026,+91-9377098052,+91-2050251598,Incoming,765,2026-08-22 08:16:36,"Station Road Footpath, Agripada, Mumbai"
CDR-5c775ae2,0716/2026,+91-6400189254,+91-7418523271,SMS,768,2026-08-27 01:07:44,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-188fc222,0371/2026,+91-4830450019,+91-2818487325,SMS,719,2026-09-05 09:02:41,"MIDC Road, Gavdevi, Thakurli (East), Thane"
CDR-07bd1f65,0983/2026,+91-7611970993,+91-9967968993,SMS,434,2026-07-25 02:26:55,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-4afb0a7b,0499/2026,+91-8164539334,+91-2150790686,Outgoing,514,2026-07-14 02:57:43,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-84d8151a,0687/2026,+91-0224687988,+91-7813014202,Incoming,48,2026-07-21 08:00:17,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-9fc4f72d,0819/2026,+91-6072329900,+91-2913723000,SMS,867,2026-08-21 12:46:23,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-e010d845,0777/2026,+91-3203295820,+91-0863104046,Incoming,472,2026-09-04 04:03:36,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-9c08adad,0702/2026,+91-7339277969,+91-4911446112,SMS,473,2026-08-18 03:36:05,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3e9,0760/2026,+91-7458410398,+91-0751400478,Incoming,763,2026-08-21 22:24:38,"Madanpura, Baban Galli, Byculla (W)"
CDR-3ea,0760/2026,+91-7458410398,+91-0751400478,Outgoing,858,2026-08-28 01:58:20,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-3eb,0760/2026,+91-7458410398,+91-0751400478,Outgoing,314,2026-08-05 11:58:31,"Station Road Footpath, Agripada, Mumbai"
CDR-3ec,0760/2026,+91-7458410398,+91-0751400478,Incoming,419,2026-08-04 19:32:48,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3ed,0760/2026,+91-7458410398,+91-0751400478,Incoming,777,2026-08-15 02:34:15,"Madanpura, Baban Galli, Byculla (W)"
CDR-3ee,0760/2026,+91-7458410398,+91-0751400478,Outgoing,879,2026-08-21 19:46:22,"Station Road Footpath, Agripada, Mumbai"
CDR-3ef,0760/2026,+91-7458410398,+91-0751400478,Incoming,707,2026-08-08 14:15:24,"Station Road Footpath, Agripada, Mumbai"
CDR-3f0,0760/2026,+91-7458410398,+91-0751400478,Outgoing,314,2026-08-15 19:20:33,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3f1,0254/2026,+91-2236381844,+91-7611970993,SMS,0,2026-08-09 02:48:50,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-3f2,0254/2026,+91-2236381844,+91-7611970993,SMS,0,2026-08-24 11:20:39,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-3f3,0254/2026,+91-2236381844,+91-7611970993,Outgoing,685,2026-08-23 11:53:30,"Station Road Footpath, Agripada, Mumbai"
CDR-3f4,0254/2026,+91-2236381844,+91-7611970993,Incoming,871,2026-08-02 19:35:27,"Station Road Footpath, Agripada, Mumbai"
CDR-3f5,0254/2026,+91-2236381844,+91-7611970993,Incoming,610,2026-08-23 19:23:51,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-3f6,0847/2026,+91-6926567843,+91-8472516266,SMS,0,2026-08-15 03:26:18,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-3f7,0847/2026,+91-6926567843,+91-8472516266,SMS,0,2026-08-18 14:57:47,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-3f8,0847/2026,+91-6926567843,+91-8472516266,SMS,0,2026-08-13 19:24:18,"Madanpura, Baban Galli, Byculla (W)"
CDR-3f9,0847/2026,+91-6926567843,+91-8472516266,Outgoing,123,2026-08-25 01:17:19,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-3fa,0847/2026,+91-6926567843,+91-8472516266,SMS,0,2026-08-14 02:34:34,"Madanpura, Baban Galli, Byculla (W)"
CDR-3fb,0847/2026,+91-6926567843,+91-8472516266,Outgoing,571,2026-08-09 01:53:56,"Station Road Footpath, Agripada, Mumbai"
CDR-3fc,0847/2026,+91-6926567843,+91-8472516266,SMS,0,2026-08-18 14:59:51,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3fd,0191/2026,+91-7309005344,+91-8224462027,Outgoing,475,2026-08-06 23:10:56,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3fe,0191/2026,+91-7309005344,+91-8224462027,SMS,0,2026-08-25 03:42:16,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-3ff,0191/2026,+91-7309005344,+91-8224462027,SMS,0,2026-08-17 11:19:33,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-400,0191/2026,+91-7309005344,+91-8224462027,SMS,0,2026-08-25 01:48:30,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-401,0983/2026,+91-7611970993,+91-0356058771,Incoming,401,2026-08-27 14:25:13,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-402,0983/2026,+91-7611970993,+91-0356058771,SMS,0,2026-08-03 02:56:41,"Station Road Footpath, Agripada, Mumbai"
CDR-403,0983/2026,+91-7611970993,+91-0356058771,SMS,0,2026-08-25 03:18:52,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-404,0983/2026,+91-7611970993,+91-0356058771,SMS,0,2026-08-06 14:43:48,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-405,0943/2026,+91-3604313547,+91-7611970993,SMS,0,2026-08-25 11:55:29,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-406,0943/2026,+91-3604313547,+91-7611970993,SMS,0,2026-08-21 19:38:43,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-407,0943/2026,+91-3604313547,+91-7611970993,Incoming,283,2026-08-08 02:31:11,"Madanpura, Baban Galli, Byculla (W)"
CDR-408,0943/2026,+91-3604313547,+91-7611970993,SMS,0,2026-08-08 11:10:14,"Station Road Footpath, Agripada, Mumbai"
CDR-409,0943/2026,+91-3604313547,+91-7611970993,Incoming,99,2026-08-02 19:14:42,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-40a,0468/2026,+91-0077344960,+91-0953911949,SMS,0,2026-08-16 11:44:18,"Madanpura, Baban Galli, Byculla (W)"
CDR-40b,0468/2026,+91-0077344960,+91-0953911949,SMS,0,2026-08-16 11:40:36,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-40c,0468/2026,+91-0077344960,+91-0953911949,Incoming,129,2026-08-22 22:32:37,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-40d,0468/2026,+91-0077344960,+91-0953911949,Outgoing,776,2026-08-02 02:13:35,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-40e,0468/2026,+91-0077344960,+91-0953911949,Incoming,284,2026-08-07 11:44:38,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-40f,0468/2026,+91-0077344960,+91-0953911949,Outgoing,217,2026-08-09 23:25:14,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-410,0871/2026,+91-0277658032,+91-6463599241,Incoming,81,2026-08-21 01:15:58,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-411,0871/2026,+91-0277658032,+91-6463599241,Incoming,446,2026-08-16 23:23:35,"Station Road Footpath, Agripada, Mumbai"
CDR-412,0871/2026,+91-0277658032,+91-6463599241,Incoming,418,2026-08-01 22:26:39,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-413,0871/2026,+91-0277658032,+91-6463599241,Outgoing,743,2026-08-24 23:19:22,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-414,0871/2026,+91-0277658032,+91-6463599241,Incoming,89,2026-08-19 01:57:30,"Station Road Footpath, Agripada, Mumbai"
CDR-415,0871/2026,+91-0277658032,+91-6463599241,Incoming,628,2026-08-16 03:13:42,"Station Road Footpath, Agripada, Mumbai"
CDR-416,0871/2026,+91-0277658032,+91-6463599241,Incoming,100,2026-08-20 02:53:25,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-417,0871/2026,+91-0277658032,+91-6463599241,Incoming,613,2026-08-08 01:49:15,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-418,0320/2026,+91-7774789752,+91-2236381844,SMS,0,2026-08-19 19:26:23,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-419,0320/2026,+91-7774789752,+91-2236381844,Incoming,301,2026-08-13 03:52:51,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-41a,0320/2026,+91-7774789752,+91-2236381844,Outgoing,353,2026-08-25 02:10:39,"Madanpura, Baban Galli, Byculla (W)"
CDR-41b,0320/2026,+91-7774789752,+91-2236381844,SMS,0,2026-08-04 02:44:23,"Madanpura, Baban Galli, Byculla (W)"
CDR-41c,0320/2026,+91-7774789752,+91-2236381844,Outgoing,165,2026-08-12 02:25:33,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-41d,0320/2026,+91-7774789752,+91-2236381844,Incoming,478,2026-08-27 14:49:51,"Madanpura, Baban Galli, Byculla (W)"
CDR-41e,0320/2026,+91-7774789752,+91-2236381844,Incoming,713,2026-08-27 14:52:16,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-41f,0320/2026,+91-7774789752,+91-2236381844,Outgoing,148,2026-08-04 03:27:28,"Madanpura, Baban Galli, Byculla (W)"
CDR-420,0320/2026,+91-7774789752,+91-2236381844,Incoming,764,2026-08-11 11:53:50,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-421,0635/2026,+91-0953911949,+91-4860124675,Outgoing,287,2026-08-28 01:15:50,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-422,0635/2026,+91-0953911949,+91-4860124675,Outgoing,75,2026-08-01 19:59:18,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-423,0635/2026,+91-0953911949,+91-4860124675,Incoming,789,2026-08-15 22:45:10,"Station Road Footpath, Agripada, Mumbai"
CDR-424,0635/2026,+91-0953911949,+91-4860124675,Incoming,737,2026-08-05 01:33:47,"Madanpura, Baban Galli, Byculla (W)"
CDR-425,0635/2026,+91-0953911949,+91-4860124675,Incoming,470,2026-08-05 01:29:33,"Station Road Footpath, Agripada, Mumbai"
CDR-426,0635/2026,+91-0953911949,+91-4860124675,Outgoing,245,2026-08-22 11:52:16,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-427,0635/2026,+91-0953911949,+91-4860124675,SMS,0,2026-08-28 22:49:57,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-428,0635/2026,+91-0953911949,+91-4860124675,Incoming,196,2026-08-26 03:36:11,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-429,0370/2026,+91-0909634931,+91-4293362242,Outgoing,831,2026-08-14 11:27:20,"Station Road Footpath, Agripada, Mumbai"
CDR-42a,0370/2026,+91-0909634931,+91-4293362242,Outgoing,69,2026-08-28 23:24:22,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-42b,0370/2026,+91-0909634931,+91-4293362242,Outgoing,342,2026-08-27 11:24:11,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-42c,0370/2026,+91-0909634931,+91-4293362242,Outgoing,366,2026-08-09 02:59:27,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-42d,0370/2026,+91-0909634931,+91-4293362242,SMS,0,2026-08-17 22:53:44,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-42e,0370/2026,+91-0909634931,+91-4293362242,Incoming,148,2026-08-09 03:47:26,"Station Road Footpath, Agripada, Mumbai"
CDR-42f,0370/2026,+91-0909634931,+91-4293362242,Incoming,640,2026-08-14 19:56:30,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-430,0370/2026,+91-0909634931,+91-4293362242,SMS,0,2026-08-17 02:34:46,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-431,0370/2026,+91-0909634931,+91-4293362242,Outgoing,75,2026-08-23 22:10:43,"Madanpura, Baban Galli, Byculla (W)"
CDR-432,0881/2026,+91-2530358841,+91-2236381844,SMS,0,2026-08-24 11:33:37,"Station Road Footpath, Agripada, Mumbai"
CDR-433,0881/2026,+91-2530358841,+91-2236381844,SMS,0,2026-08-11 19:52:17,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-434,0881/2026,+91-2530358841,+91-2236381844,SMS,0,2026-08-10 22:30:35,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-435,0881/2026,+91-2530358841,+91-2236381844,SMS,0,2026-08-05 11:36:52,"Senapati Bapat Marg, Lower Parel, Mumbai"
CDR-436,0881/2026,+91-2530358841,+91-2236381844,SMS,0,2026-08-24 03:49:46,"Bhadakamkar Marg, Lamington Road, Grant Road"
CDR-437,0881/2026,+91-2530358841,+91-2236381844,Outgoing,591,2026-08-27 01:29:28,"Venus Wine Shop, N.M. Joshi Marg, Byculla (W)"
CDR-438,0881/2026,+91-2530358841,+91-2236381844,Outgoing,834,2026-08-19 19:39:38,"Senapati Bapat Marg, Lower Parel, Mumbai"
