uidb_number,fir_number,suspect_name,known_aliases,prior_convictions_count,previous_ps_name,previous_offence,case_year,case_status
UIDB-179689,0370/2026,Md. Robert Narain,Narain Jeet,4,Tardeo Police Station,Unlawful Assembly,2022,Bailed
UIDB-342453,0593/2026,Md. Tanveer Choudhary,Choudhary Darsh,0,N/A,None,N/A,Clean Record
UIDB-402228,0634/2026,Md. Azad Mannan,Mannan Robert,5,Byculla Police Station,Public Nuisance,2023,Bailed
UIDB-448302,0489/2026,Md. Amol Mody,Mody Parth,0,N/A,None,N/A,Clean Record
UIDB-132028,0399/2026,Md. Zaid Bhattacharyya,Bhattacharyya Chakradhar,0,N/A,None,N/A,Clean Record
UIDB-701396,0827/2026,Md. Nicholas Karpe,Karpe Yatin,0,N/A,None,N/A,Clean Record
UIDB-863523,0847/2026,Md. Indrajit Kunda,Kunda Sarthak,0,N/A,None,N/A,Clean Record
UIDB-653981,0307/2026,Md. Akshay Lata,Lata Umang,1,Worli Police Station,Unlawful Assembly,2025,Bailed
UIDB-514518,0789/2026,Md. Tejas Nigam,Nigam Jai,0,N/A,None,N/A,Clean Record
UIDB-932397,0509/2026,Md. Elijah Ganguly,Ganguly Nihal,0,N/A,None,N/A,Clean Record
UIDB-450627,0605/2026,Md. Reyansh Mangal,Mangal Jai,4,Bhoiwada Police Station,Petty Theft,2023,Disposed
UIDB-870221,0486/2026,Md. Jatin Murthy,Murthy Rayaan,3,Kalachowki Police Station,Unlawful Assembly,2022,Disposed
UIDB-268250,0725/2026,Md. Anay Minhas,Minhas Umang,0,N/A,None,N/A,Clean Record
UIDB-454527,0456/2026,Md. Jeet Saha,Saha Manbir,0,N/A,None,N/A,Clean Record
UIDB-438234,0413/2026,Md. Wriddhish Varty,Varty Udarsh,2,Worli Police Station,Assault,2023,Bailed
UIDB-642244,0053/2026,Md. Kevin Ganesan,Ganesan Dev,4,Byculla Police Station,Public Nuisance,2023,Under Trial
UIDB-460337,0263/2026,Md. Frado Dhingra,Dhingra Charan,0,N/A,None,N/A,Clean Record
UIDB-385562,0039/2026,Md. Naveen Tailor,Tailor Udant,3,Kalachowki Police Station,Public Nuisance,2022,Bailed
UIDB-483888,0856/2026,Md. Dominic Gupta,Gupta Madhav,0,N/A,None,N/A,Clean Record
UIDB-300146,0728/2026,Md. Frederick Nori,Nori Onkar,3,Worli Police Station,Petty Theft,2023,Bailed
UIDB-003552,0596/2026,Md. Brijesh Goda,Goda Ranveer,0,N/A,None,N/A,Clean Record
UIDB-878903,0654/2026,Md. Qadim Solanki,Solanki Ansh,3,Agripada Police Station,Public Nuisance,2023,Disposed
UIDB-823492,0573/2026,Md. Daniel Raman,Raman Neel,3,Dadar Police Station,Petty Theft,2022,Bailed
UIDB-813150,0225/2026,Md. Vihaan Vohra,Vohra Theodore,3,Dadar Police Station,Assault,2023,Under Trial
UIDB-642045,0683/2026,Md. David Nayak,Nayak Harish,1,Agripada Police Station,Unlawful Assembly,2024,Disposed
UIDB-923765,0430/2026,Md. Harish Bali,Bali Daniel,0,N/A,None,N/A,Clean Record
UIDB-665991,0123/2026,Md. Matthew Om,Om Wahab,0,N/A,None,N/A,Clean Record
UIDB-320042,0168/2026,Md. Rayaan Bhavsar,Bhavsar Zashil,1,Nagpada Police Station,Unlawful Assembly,2024,Bailed
UIDB-632568,0755/2026,Md. Hemang Shere,Shere Praneel,0,N/A,None,N/A,Clean Record
UIDB-713875,0326/2026,Md. Jeet Sachdeva,Sachdeva Agastya,4,Byculla Police Station,Public Nuisance,2025,Bailed
UIDB-833665,0689/2026,Md. Zehaan Wali,Wali Pranav,2,Byculla Police Station,Public Nuisance,2024,Under Trial
UIDB-221435,0104/2026,Md. Aarnav Sekhon,Sekhon Chatura,0,N/A,None,N/A,Clean Record
UIDB-951483,0227/2026,Md. Qarin Balan,Balan Fiyaz,2,Byculla Police Station,Petty Theft,2024,Disposed
UIDB-370227,0353/2026,Md. Balhaar Sami,Sami Oliver,0,N/A,None,N/A,Clean Record
UIDB-857267,0420/2026,Md. Warjas Khalsa,Khalsa Indrajit,1,Byculla Police Station,Assault,2024,Disposed
UIDB-059802,0286/2026,Md. Christopher Pillai,Pillai Finn,4,Worli Police Station,Assault,2025,Disposed
UIDB-616105,0112/2026,Md. Frederick Gade,Gade Jagdish,2,Byculla Police Station,Unlawful Assembly,2025,Disposed
UIDB-891983,0235/2026,Md. Raghav Manda,Manda Arin,0,N/A,None,N/A,Clean Record
UIDB-962803,0460/2026,Md. Laban Sidhu,Sidhu Yatan,0,N/A,None,N/A,Clean Record
UIDB-012021,0009/2026,Md. Rudra Narula,Narula Azaan,0,N/A,None,N/A,Clean Record
UIDB-674575,0468/2026,Md. George Ramaswamy,Ramaswamy Oscar,0,N/A,None,N/A,Clean Record
UIDB-080101,0295/2026,Md. Owen Ganesh,Ganesh Benjamin,0,N/A,None,N/A,Clean Record
UIDB-114019,0545/2026,Md. Frado Raja,Raja Samuel,5,Nagpada Police Station,Assault,2025,Disposed
UIDB-088237,0460/2026,Md. Zaid Nair,Nair Bakhshi,5,Tardeo Police Station,Assault,2024,Bailed
UIDB-729611,0233/2026,Md. Harsh Samra,Samra Om,5,Worli Police Station,Unlawful Assembly,2025,Bailed
UIDB-176398,0777/2026,Md. Ansh Sandal,Sandal William,0,N/A,None,N/A,Clean Record
UIDB-715006,0871/2026,Md. Harrison Sarna,Sarna Logan,0,N/A,None,N/A,Clean Record
UIDB-262638,0895/2026,Md. Gaurang Bhatti,Bhatti Hardik,0,N/A,None,N/A,Clean Record
UIDB-517508,0881/2026,Md. Vedant Padmanabhan,Padmanabhan Akshay,0,N/A,None,N/A,Clean Record
UIDB-764817,0055/2026,Md. Yagnesh Zacharia,Zacharia Zehaan,0,N/A,None,N/A,Clean Record
UIDB-013583,0762/2026,Md. Alexander Master,Master Ekavir,0,N/A,None,N/A,Clean Record
UIDB-937754,0977/2026,Md. Onveer Bahl,Bahl Hritik,0,N/A,None,N/A,Clean Record
UIDB-261340,0760/2026,Md. Darsh Sampath,Sampath Zaid,1,Worli Police Station,Assault,2022,Under Trial
UIDB-762065,0292/2026,Md. Wridesh Virk,Virk Dominic,4,Nagpada Police Station,Public Nuisance,2022,Bailed
UIDB-507806,0069/2026,Md. Wridesh Bali,Bali Kai,0,N/A,None,N/A,Clean Record
UIDB-779644,0660/2026,Md. Chakradhar Batta,Batta Aditya,0,N/A,None,N/A,Clean Record
UIDB-242856,0323/2026,Md. Sathvik Pant,Pant Owen,0,N/A,None,N/A,Clean Record
UIDB-235018,0943/2026,Md. Samar Nagar,Nagar Raghav,0,N/A,None,N/A,Clean Record
UIDB-474169,0173/2026,Md. Chanakya Chaudhari,Chaudhari Zayan,0,N/A,None,N/A,Clean Record
UIDB-816988,0734/2026,Md. Umang Sabharwal,Sabharwal Jeet,0,N/A,None,N/A,Clean Record
UIDB-435883,0021/2026,Md. Veer Devi,Devi Zehaan,5,Nagpada Police Station,Assault,2024,Under Trial
UIDB-987647,0439/2026,Md. Falan Krishna,Krishna Darpan,1,Agripada Police Station,Petty Theft,2024,Bailed
UIDB-455210,0252/2026,Md. Yagnesh Tak,Tak Yatan,1,Nagpada Police Station,Petty Theft,2022,Bailed
UIDB-355017,0716/2026,Md. Jagdish Acharya,Acharya Hritik,0,N/A,None,N/A,Clean Record
UIDB-881447,0371/2026,Md. Samar Golla,Golla Tanish,0,N/A,None,N/A,Clean Record
UIDB-672485,0983/2026,Md. Teerth Bhargava,Bhargava Zayyan,0,N/A,None,N/A,Clean Record
UIDB-053812,0499/2026,Md. Manan Subramanian,Subramanian Saksham,3,Nagpada Police Station,Petty Theft,2022,Disposed
UIDB-264186,0687/2026,Md. Oliver Dasgupta,Dasgupta Hitesh,0,N/A,None,N/A,Clean Record
UIDB-563896,0819/2026,Md. Ranbir Bains,Bains Rayaan,0,N/A,None,N/A,Clean Record
UIDB-579884,0777/2026,Md. Karan Mistry,Mistry Girik,4,Kalachowki Police Station,Unlawful Assembly,2024,Under Trial
UIDB-397233,0702/2026,Md. Dev Mani,Mani Samar,0,N/A,None,N/A,Clean Record
