profile_id,fir_number,suspect_name,platform,handle_username,associated_phone,check_in_location,timestamp,caption_snippet
SM-24963,0069/2026,Md. Wridesh Bali,Facebook,@md_wridesh_bali,+91-2971614670,Station Road Footpath,2026-07-21 08:38:38,Ex eius odio quae.
SM-71004,0660/2026,Md. Chakradhar Batta,X / Twitter,@md_chakradhar_batta,+91-9000406254,Station Road Footpath,2026-07-24 13:15:34,Placeat sunt est odit optio.
SM-48421,0323/2026,Md. Sathvik Pant,WhatsApp,@md_sathvik_pant,+91-1554078824,Madanpura,2026-07-22 23:28:00,Iusto nesciunt est asperiores sit non ex inventore.
SM-50197,0943/2026,Md. Samar Nagar,Facebook,@md_samar_nagar,+91-3604313547,Station Road Footpath,2026-08-15 04:00:30,Est alias dolor sed dicta cupiditate dolorum.
SM-55796,0173/2026,Md. Chanakya Chaudhari,Facebook,@md_chanakya_chaudhari,+91-7907250746,Senapati Bapat Marg,2026-08-20 00:42:42,Quas id hic voluptate et.
SM-49163,0734/2026,Md. Umang Sabharwal,Instagram,@md_umang_sabharwal,+91-6997065590,Venus Wine Shop,2026-08-10 11:58:52,Voluptatum quis voluptatum odio molestiae doloribus delectus cumque.
SM-86817,0021/2026,Md. Veer Devi,Instagram,@md_veer_devi,+91-5037744332,Venus Wine Shop,2026-08-31 23:54:48,Placeat natus eos unde officiis placeat.
SM-35091,0439/2026,Md. Falan Krishna,X / Twitter,@md_falan_krishna,+91-8579159927,Senapati Bapat Marg,2026-07-15 00:19:40,Id similique voluptatum facilis incidunt.
SM-89715,0252/2026,Md. Yagnesh Tak,Instagram,@md_yagnesh_tak,+91-9377098052,Station Road Footpath,2026-08-22 06:53:36,Id pariatur doloribus.
SM-87285,0716/2026,Md. Jagdish Acharya,Facebook,@md_jagdish_acharya,+91-6400189254,Venus Wine Shop,2026-08-26 18:59:44,Facilis nesciunt optio quod suscipit porro nam.
SM-14577,0371/2026,Md. Samar Golla,Instagram,@md_samar_golla,+91-4830450019,MIDC Road,2026-09-05 10:44:41,Aspernatur enim vero esse.
SM-42416,0983/2026,Md. Teerth Bhargava,Instagram,@md_teerth_bhargava,+91-7611970993,Senapati Bapat Marg,2026-07-25 00:56:55,Reprehenderit libero dolor.
SM-67095,0499/2026,Md. Manan Subramanian,X / Twitter,@md_manan_subramanian,+91-8164539334,Venus Wine Shop,2026-07-13 05:34:43,A quisquam a tenetur modi suscipit possimus.
SM-69866,0687/2026,Md. Oliver Dasgupta,X / Twitter,@md_oliver_dasgupta,+91-0224687988,Bhadakamkar Marg,2026-07-20 11:17:17,Nesciunt maxime explicabo fuga.
SM-77506,0819/2026,Md. Ranbir Bains,Facebook,@md_ranbir_bains,+91-6072329900,Bhadakamkar Marg,2026-08-20 23:45:23,Sint dolor molestias tempore delectus facere.
SM-70493,0777/2026,Md. Karan Mistry,WhatsApp,@md_karan_mistry,+91-3203295820,Bhadakamkar Marg,2026-09-03 14:55:36,Deserunt ab placeat consequatur explicabo culpa quis.
SM-93936,0702/2026,Md. Dev Mani,X / Twitter,@md_dev_mani,+91-7339277969,Bhadakamkar Marg,2026-08-18 03:44:05,Culpa omnis vero commodi architecto.
