transaction_id,fir_number,account_holder,payment_mode,amount_inr,timestamp,merchant_or_payee,status
TXN42276590,0196/2026,Md. Maanav Tailor,UPI / QR Merchant,4682.0,2026-08-04 08:22:47,Retail Store,PENDING
TXN30334924,0191/2026,Md. Balendra Nayak,UPI / QR Merchant,3541.0,2026-08-04 01:01:48,Wine Shop Vendor,SUCCESS
TXN18956319,0370/2026,Md. Robert Narain,ATM Withdrawal,1078.0,2026-08-27 02:06:01,Wine Shop Vendor,SUCCESS
TXN40667235,0593/2026,Md. Tanveer Choudhary,UPI / QR Merchant,2213.0,2026-09-05 02:19:33,Wine Shop Vendor,FAILED
TXN55512484,0634/2026,Md. Azad Mannan,ATM Withdrawal,303.0,2026-09-04 03:50:56,Wine Shop Vendor,PENDING
TXN72769502,0489/2026,Md. Amol Mody,Cash,2012.0,2026-07-19 22:59:39,Wine Shop Vendor,SUCCESS
TXN15826004,0399/2026,Md. Zaid Bhattacharyya,ATM Withdrawal,2579.0,2026-09-01 16:33:03,Retail Store,FAILED
TXN61560124,0827/2026,Md. Nicholas Karpe,ATM Withdrawal,2900.0,2026-07-22 16:28:58,Peer Transfer,FAILED
TXN09955358,0847/2026,Md. Indrajit Kunda,ATM Withdrawal,4505.0,2026-08-22 20:49:01,Wine Shop Vendor,PENDING
TXN02961039,0307/2026,Md. Akshay Lata,Cash,4984.0,2026-08-12 07:02:43,Local Counter,FAILED
TXN80932539,0789/2026,Md. Tejas Nigam,Net Banking,2694.0,2026-08-10 21:35:55,Retail Store,FAILED
TXN76116640,0509/2026,Md. Elijah Ganguly,Net Banking,3442.0,2026-08-07 21:01:12,Retail Store,SUCCESS
TXN54260051,0605/2026,Md. Reyansh Mangal,Net Banking,3855.0,2026-08-25 04:55:33,Retail Store,PENDING
TXN92636596,0486/2026,Md. Jatin Murthy,UPI / QR Merchant,4727.0,2026-09-02 23:28:18,Local Counter,PENDING
TXN13506138,0725/2026,Md. Anay Minhas,UPI / QR Merchant,890.0,2026-08-07 18:35:59,Peer Transfer,FAILED
TXN13083087,0456/2026,Md. Jeet Saha,ATM Withdrawal,1662.0,2026-07-17 01:51:08,Peer Transfer,PENDING
TXN96282195,0413/2026,Md. Wriddhish Varty,ATM Withdrawal,3808.0,2026-08-20 06:17:23,Wine Shop Vendor,FAILED
TXN82060159,0053/2026,Md. Kevin Ganesan,UPI / QR Merchant,321.0,2026-08-25 16:22:39,Peer Transfer,PENDING
TXN29605232,0263/2026,Md. Frado Dhingra,UPI / QR Merchant,3028.0,2026-07-15 04:26:45,Local Counter,FAILED
TXN89583729,0039/2026,Md. Naveen Tailor,Net Banking,4826.0,2026-07-22 03:32:53,Wine Shop Vendor,SUCCESS
TXN39883206,0856/2026,Md. Dominic Gupta,Net Banking,3421.0,2026-09-02 01:49:52,Local Counter,SUCCESS
TXN44822982,0728/2026,Md. Frederick Nori,Net Banking,4813.0,2026-08-17 21:41:18,Wine Shop Vendor,PENDING
TXN61590847,0596/2026,Md. Brijesh Goda,UPI / QR Merchant,3171.0,2026-08-18 00:31:26,Peer Transfer,SUCCESS
TXN49235152,0654/2026,Md. Qadim Solanki,Net Banking,4164.0,2026-07-16 01:00:30,Retail Store,FAILED
TXN00899789,0573/2026,Md. Daniel Raman,UPI / QR Merchant,4718.0,2026-08-24 23:18:59,Wine Shop Vendor,SUCCESS
TXN65379187,0225/2026,Md. Vihaan Vohra,UPI / QR Merchant,550.0,2026-07-27 03:10:13,Local Counter,PENDING
TXN61859614,0683/2026,Md. David Nayak,UPI / QR Merchant,4459.0,2026-08-01 04:14:02,Peer Transfer,FAILED
TXN34394845,0430/2026,Md. Harish Bali,UPI / QR Merchant,662.0,2026-07-16 14:55:37,Retail Store,SUCCESS
TXN06163937,0123/2026,Md. Matthew Om,ATM Withdrawal,4700.0,2026-09-01 10:25:47,Local Counter,SUCCESS
TXN59664859,0168/2026,Md. Rayaan Bhavsar,UPI / QR Merchant,765.0,2026-07-19 22:21:26,Retail Store,SUCCESS
TXN31346969,0755/2026,Md. Hemang Shere,UPI / QR Merchant,3252.0,2026-08-16 06:10:19,Peer Transfer,FAILED
TXN63280031,0326/2026,Md. Jeet Sachdeva,UPI / QR Merchant,4743.0,2026-07-31 14:05:37,Wine Shop Vendor,FAILED
TXN50736449,0689/2026,Md. Zehaan Wali,UPI / QR Merchant,302.0,2026-07-15 15:52:59,Wine Shop Vendor,FAILED
TXN32776982,0104/2026,Md. Aarnav Sekhon,Cash,3237.0,2026-08-21 16:39:11,Retail Store,PENDING
TXN67675470,0227/2026,Md. Qarin Balan,UPI / QR Merchant,2446.0,2026-08-26 21:44:29,Peer Transfer,SUCCESS
TXN45100360,0353/2026,Md. Balhaar Sami,Cash,2376.0,2026-08-27 06:18:31,Wine Shop Vendor,PENDING
TXN63248611,0420/2026,Md. Warjas Khalsa,Cash,4305.0,2026-08-05 11:14:48,Local Counter,FAILED
TXN85814842,0286/2026,Md. Christopher Pillai,Net Banking,3763.0,2026-08-19 08:24:27,Wine Shop Vendor,FAILED
TXN44959109,0112/2026,Md. Frederick Gade,UPI / QR Merchant,4919.0,2026-08-09 07:34:46,Local Counter,FAILED
TXN63783185,0235/2026,Md. Raghav Manda,UPI / QR Merchant,4319.0,2026-08-11 13:30:23,Wine Shop Vendor,PENDING
TXN19387193,0460/2026,Md. Laban Sidhu,Net Banking,4311.0,2026-08-31 22:07:07,Peer Transfer,PENDING
TXN20308969,0009/2026,Md. Rudra Narula,Net Banking,4042.0,2026-07-13 05:54:39,Peer Transfer,PENDING
TXN29705522,0468/2026,Md. George Ramaswamy,Cash,2242.0,2026-08-09 21:24:15,Retail Store,PENDING
TXN00946662,0295/2026,Md. Owen Ganesh,Cash,4654.0,2026-08-08 00:40:14,Local Counter,FAILED
TXN54499495,0545/2026,Md. Frado Raja,Cash,3767.0,2026-07-26 15:46:53,Wine Shop Vendor,SUCCESS
TXN03073475,0460/2026,Md. Zaid Nair,Cash,1568.0,2026-09-02 20:23:39,Peer Transfer,FAILED
TXN31928572,0233/2026,Md. Harsh Samra,UPI / QR Merchant,4110.0,2026-07-27 21:03:57,Retail Store,SUCCESS
TXN94756993,0777/2026,Md. Ansh Sandal,Net Banking,857.0,2026-08-05 13:19:35,Peer Transfer,FAILED
TXN72207417,0871/2026,Md. Harrison Sarna,UPI / QR Merchant,3681.0,2026-07-31 09:13:21,Local Counter,PENDING
TXN99238234,0895/2026,Md. Gaurang Bhatti,Cash,3768.0,2026-08-13 01:10:52,Wine Shop Vendor,PENDING
TXN08730833,0881/2026,Md. Vedant Padmanabhan,Cash,4869.0,2026-08-30 07:29:31,Wine Shop Vendor,SUCCESS
TXN09356427,0055/2026,Md. Yagnesh Zacharia,ATM Withdrawal,854.0,2026-07-22 01:02:39,Local Counter,SUCCESS
TXN82497979,0762/2026,Md. Alexander Master,Cash,2495.0,2026-07-14 06:35:29,Peer Transfer,FAILED
TXN48445914,0977/2026,Md. Onveer Bahl,UPI / QR Merchant,1509.0,2026-09-03 09:02:42,Wine Shop Vendor,PENDING
TXN70634637,0760/2026,Md. Darsh Sampath,Cash,1980.0,2026-08-10 17:17:06,Local Counter,SUCCESS
TXN59538964,0292/2026,Md. Wridesh Virk,Net Banking,4705.0,2026-07-15 15:27:56,Peer Transfer,SUCCESS
TXN33591395,0069/2026,Md. Wridesh Bali,Net Banking,3732.0,2026-07-21 22:32:38,Peer Transfer,FAILED
TXN65196037,0660/2026,Md. Chakradhar Batta,ATM Withdrawal,1447.0,2026-07-24 17:07:34,Retail Store,PENDING
TXN93670240,0323/2026,Md. Sathvik Pant,Cash,2794.0,2026-07-23 11:05:00,Retail Store,FAILED
TXN20199146,0943/2026,Md. Samar Nagar,Cash,3240.0,2026-08-16 02:30:30,Local Counter,PENDING
TXN47770606,0173/2026,Md. Chanakya Chaudhari,Net Banking,354.0,2026-08-20 05:41:42,Retail Store,PENDING
TXN13643560,0734/2026,Md. Umang Sabharwal,Cash,4366.0,2026-08-10 18:34:52,Retail Store,FAILED
TXN17083056,0021/2026,Md. Veer Devi,Net Banking,3399.0,2026-09-01 01:44:48,Peer Transfer,SUCCESS
TXN27050344,0439/2026,Md. Falan Krishna,Cash,2787.0,2026-07-15 08:59:40,Retail Store,SUCCESS
TXN96634753,0252/2026,Md. Yagnesh Tak,Net Banking,1664.0,2026-08-22 07:10:36,Local Counter,PENDING
TXN27740568,0716/2026,Md. Jagdish Acharya,UPI / QR Merchant,1019.0,2026-08-27 02:59:44,Peer Transfer,FAILED
TXN63953168,0371/2026,Md. Samar Golla,Cash,1696.0,2026-09-05 12:27:41,Local Counter,FAILED
TXN87742972,0983/2026,Md. Teerth Bhargava,Cash,3477.0,2026-07-25 03:40:55,Local Counter,SUCCESS
TXN63298783,0499/2026,Md. Manan Subramanian,ATM Withdrawal,3675.0,2026-07-14 01:45:43,Retail Store,PENDING
TXN06663401,0687/2026,Md. Oliver Dasgupta,UPI / QR Merchant,3211.0,2026-07-21 08:38:17,Peer Transfer,SUCCESS
TXN13712246,0819/2026,Md. Ranbir Bains,Net Banking,3654.0,2026-08-21 13:48:23,Local Counter,PENDING
TXN92815343,0777/2026,Md. Karan Mistry,ATM Withdrawal,4935.0,2026-09-04 04:56:36,Retail Store,SUCCESS
TXN43120191,0702/2026,Md. Dev Mani,UPI / QR Merchant,842.0,2026-08-18 03:41:05,Retail Store,PENDING
TXN90000110,0973/2026,Md. Ojas Bhavsar,Wire Transfer,11058.57,2026-08-01 15:30:00,Jewelry Shop,FAILED
TXN90000424,0973/2026,Md. Ojas Bhavsar,Wire Transfer,19319.1,2026-08-18 22:30:00,Peer Transfer,FAILED
TXN90000636,0056/2026,Md. Sathvik Mahajan,ATM Withdrawal,12306.31,2026-08-01 16:30:00,Jewelry Shop,PENDING
TXN90001083,0056/2026,Md. Sathvik Mahajan,ATM Withdrawal,18794.08,2026-08-27 17:30:00,Peer Transfer,PENDING
TXN90001456,0288/2026,Md. Elijah Rege,UPI / QR Merchant,22905.9,2026-08-19 19:30:00,Wine Shop Vendor,SUCCESS
TXN90001885,0288/2026,Md. Elijah Rege,ATM Withdrawal,5553.24,2026-08-15 12:30:00,Wine Shop Vendor,FAILED
TXN90002179,0254/2026,Md. Ranbir Bhalla,ATM Withdrawal,7262.36,2026-08-11 15:30:00,Liquor Store,FAILED
TXN90002664,0254/2026,Md. Ranbir Bhalla,ATM Withdrawal,8176.11,2026-08-03 17:30:00,Wine Shop Vendor,PENDING
TXN90003040,0320/2026,Md. Pranit Arya,UPI / QR Merchant,24997.93,2026-08-12 13:30:00,Wine Shop Vendor,PENDING
TXN90003160,0320/2026,Md. Pranit Arya,UPI / QR Merchant,23866.26,2026-08-07 23:30:00,Wine Shop Vendor,PENDING
TXN90003338,0481/2026,Md. Reyansh Anne,UPI / QR Merchant,5339.97,2026-08-22 11:30:00,Peer Transfer,FAILED
TXN90003796,0481/2026,Md. Reyansh Anne,ATM Withdrawal,19755.21,2026-08-06 19:30:00,Wine Shop Vendor,SUCCESS
TXN90004055,0438/2026,Md. Andrew Bora,UPI / QR Merchant,15520.41,2026-08-10 19:30:00,Liquor Store,FAILED
TXN90004521,0438/2026,Md. Andrew Bora,UPI / QR Merchant,4209.92,2026-08-23 23:30:00,Peer Transfer,SUCCESS
TXN90004977,0108/2026,Md. Gagan Rao,ATM Withdrawal,21631.6,2026-08-20 22:30:00,Wine Shop Vendor,PENDING
TXN90005477,0108/2026,Md. Gagan Rao,UPI / QR Merchant,10312.08,2026-08-14 20:30:00,Jewelry Shop,SUCCESS
TXN90005836,0898/2026,Md. Peter Barad,Wire Transfer,10177.7,2026-08-28 16:30:00,Liquor Store,SUCCESS
TXN90006157,0898/2026,Md. Peter Barad,ATM Withdrawal,16800.66,2026-08-27 17:30:00,Peer Transfer,FAILED
TXN90006347,0734/2026,Md. Nihal Rana,Wire Transfer,14239.3,2026-08-21 14:30:00,Liquor Store,FAILED
TXN90006670,0734/2026,Md. Nihal Rana,Wire Transfer,15830.68,2026-08-11 23:30:00,Peer Transfer,SUCCESS
TXN90006912,0513/2026,Md. Arjun Sheth,ATM Withdrawal,7986.93,2026-08-15 19:30:00,Liquor Store,FAILED
TXN90007026,0513/2026,Md. Arjun Sheth,ATM Withdrawal,21646.44,2026-08-06 17:30:00,Peer Transfer,FAILED
TXN90007258,0635/2026,Md. Umang Mody,ATM Withdrawal,8792.32,2026-08-20 21:30:00,Jewelry Shop,PENDING
TXN90007363,0635/2026,Md. Umang Mody,Wire Transfer,23831.41,2026-08-03 13:30:00,Liquor Store,FAILED
TXN90007747,0724/2026,Md. Laban Prakash,UPI / QR Merchant,18038.71,2026-08-21 21:30:00,Liquor Store,FAILED
TXN90007855,0724/2026,Md. Laban Prakash,UPI / QR Merchant,9120.3,2026-08-13 21:30:00,Peer Transfer,FAILED
TXN90008294,0414/2026,Md. Zashil Mistry,Wire Transfer,10802.96,2026-08-18 18:30:00,Jewelry Shop,FAILED
TXN90008775,0414/2026,Md. Zashil Mistry,Wire Transfer,9942.8,2026-08-23 17:30:00,Jewelry Shop,FAILED
TXN90009003,0658/2026,Md. Advik Golla,UPI / QR Merchant,5214.76,2026-08-07 15:30:00,Wine Shop Vendor,PENDING
TXN90009377,0658/2026,Md. Advik Golla,Wire Transfer,6665.87,2026-08-07 21:30:00,Liquor Store,FAILED
TXN90009847,0052/2026,Md. Ayush Baria,Wire Transfer,24473.66,2026-08-17 19:30:00,Jewelry Shop,SUCCESS
TXN90010046,0052/2026,Md. Ayush Baria,ATM Withdrawal,7618.37,2026-08-06 14:30:00,Wine Shop Vendor,PENDING
TXN90010419,0481/2026,Md. Simon Rai,UPI / QR Merchant,8672.0,2026-08-02 18:30:00,Jewelry Shop,PENDING
TXN90010583,0481/2026,Md. Simon Rai,Wire Transfer,22040.38,2026-08-16 11:30:00,Wine Shop Vendor,PENDING
TXN90010828,0736/2026,Md. Tarak Sahni,ATM Withdrawal,13271.07,2026-08-11 12:30:00,Wine Shop Vendor,FAILED
TXN90011172,0736/2026,Md. Tarak Sahni,UPI / QR Merchant,20997.6,2026-08-13 17:30:00,Wine Shop Vendor,PENDING
TXN90011594,0808/2026,Md. Ayush Buch,Wire Transfer,3706.2,2026-08-05 22:30:00,Jewelry Shop,SUCCESS
TXN90011821,0808/2026,Md. Ayush Buch,UPI / QR Merchant,15056.64,2026-08-14 19:30:00,Peer Transfer,PENDING
TXN90012115,0920/2026,Md. Amol Nagy,ATM Withdrawal,22941.35,2026-08-10 23:30:00,Liquor Store,FAILED
TXN90012506,0920/2026,Md. Amol Nagy,Wire Transfer,3855.18,2026-08-24 11:30:00,Peer Transfer,PENDING
