fir_number,police_station,district_state,act_and_sections,date_time_incident,date_time_fir,complainant_name,complainant_designation,complainant_phone,complainant_address,investigating_officer,io_rank,io_badge,accused_name,accused_phone,accused_age,accused_yob,accused_address,accused_occupation,physical_features,hospital_reference
0513/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-14 03:55:07,2026-08-14 04:55:07,Jatin Sawhney,Police Head Constable 7084,+91-6164323583,"H.No. 515, Oza Zila, Faridabad 327791",Timothy Saxena,Inspector of Police,POBN31335,Md. Arjun Sheth,+91-6111449019,32,1983,"H.No. 667, Sathe Nagar, Hindupur 267698",Unemployed,Pockmarks on face,KEM Hospital Mumbai
0635/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-19 03:35:17,2026-08-19 06:35:17,Sarthak Apte,Police Head Constable 6552,+91-7955864372,"72/33, Rao Street, Dhule 949570",Oliver Gokhale,Inspector of Police,POBN46978,Md. Umang Mody,+91-0953911949,24,2003,"952, Gulati Zila, Sasaram 066981",Private Worker,Scar on left cheek,KEM Hospital Mumbai
0724/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-11 19:13:18,2026-08-11 21:13:18,Orinder Rai,Police Head Constable 8605,+91-7587557913,"88/471, Sood, Yamunanagar 874321",Rachit Patla,Inspector of Police,POBN67917,Md. Laban Prakash,+91-5372652872,38,2001,"08/93, Shenoy Path, Srikakulam-517239",Vendor,Scar on left cheek,Sion Hospital Mumbai
0414/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-11 19:12:57,2026-08-11 21:12:57,Rayaan Setty,Police Head Constable 6250,+91-8115257125,"H.No. 963, Ramaswamy Road, Firozabad-215632",Gopal Kumar,Inspector of Police,POBN99099,Md. Zashil Mistry,+91-0356058771,51,1995,"H.No. 692, Venkataraman Road, Hyderabad 953780",Private Worker,Scar on left cheek,Sion Hospital Mumbai
0658/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-12 20:17:17,2026-08-12 22:17:17,Akshay Misra,Police Head Constable 4340,+91-3348634110,"H.No. 652, Kalla Ganj, Karaikudi-781677",Chatresh Zachariah,Inspector of Police,POBN76586,Md. Advik Golla,+91-0751400478,31,1969,"313, Naidu Street, Motihari-943306",Driver,Scar on left cheek,KEM Hospital Mumbai
0052/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-21 06:15:39,2026-07-21 08:15:39,Aarush Lal,Police Head Constable 9035,+91-2345022529,"74, Vasa, Erode 965582",Michael Mangat,Inspector of Police,POBN90689,Md. Ayush Baria,+91-6993641756,26,1997,"74, Nanda Nagar, Morbi-928232",Daily Wager,Pockmarks on face,Sion Hospital Mumbai
0481/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 15:54:30,2026-08-27 16:54:30,Ayush Pandey,Police Head Constable 2533,+91-2796367869,"H.No. 437, Chaudhary Path, Dindigul-031977",Lakshit Chanda,Inspector of Police,POBN40007,Md. Simon Rai,+91-6754235346,52,1974,"H.No. 350, Dhaliwal Marg, Sambalpur 045843",Vendor,Pockmarks on face,Sion Hospital Mumbai
0736/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-13 16:23:55,2026-07-13 20:23:55,Jack Prashad,Police Head Constable 3373,+91-2698513921,"47, Varughese Ganj, Aizawl 260411",Chatura Loke,Inspector of Police,POBN47128,Md. Tarak Sahni,+91-8224462027,54,1985,"851, Bhavsar Street, Shahjahanpur-059462",Vendor,Pockmarks on face,Nair Hospital Mumbai
0808/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-21 16:20:40,2026-08-21 18:20:40,Qadim Tandon,Police Head Constable 2185,+91-0375017628,"175, Ramaswamy Chowk, Ichalkaranji 443294",Karan Kothari,Inspector of Police,POBN59556,Md. Ayush Buch,+91-8561621656,48,2004,"651, Jayaraman Road, Vasai-Virar 722142",Vendor,,Sion Hospital Mumbai
0920/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-01 07:21:26,2026-08-01 11:21:26,Pranit Shah,Police Head Constable 4678,+91-2530241420,"20/370, Padmanabhan Marg, Bongaigaon-483424",Anirudh Saxena,Inspector of Police,POBN91558,Md. Amol Nagy,+91-3128261525,33,2005,"H.No. 676, Hegde Path, Patna 424992",Private Worker,Scar on left cheek,Nair Hospital Mumbai
0161/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-19 08:36:00,2026-07-19 10:36:00,Tanish Varty,Police Head Constable 7269,+91-2204464303,"H.No. 151, Mishra Street, Baranagar 346895",Tarak Chander,Inspector of Police,POBN80119,Md. Baljiwan Hayer,+91-0327979516,46,1967,"H.No. 10, Kapadia Zila, South Dumdum 028181",Daily Wager,Pockmarks on face,KEM Hospital Mumbai
0538/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-01 03:09:33,2026-09-01 07:09:33,Advay Jayaraman,Police Head Constable 1066,+91-6617949166,"734, Ratti Path, Amaravati-337318",Darpan Grewal,Inspector of Police,POBN28542,Md. Devansh Vohra,+91-7245876065,26,1999,"95/760, Pall Marg, Mathura 104164",Driver,,Nair Hospital Mumbai
0984/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-23 19:37:14,2026-07-23 22:37:14,Manthan Srivastava,Police Head Constable 6175,+91-8315335725,"H.No. 29, Sengupta Circle, Gwalior 869610",Devansh Vasa,Inspector of Police,POBN17528,Md. Gopal Radhakrishnan,+91-9997632226,56,2003,"860, Shanker Zila, Kozhikode-719359",Unemployed,,Nair Hospital Mumbai
0915/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-16 12:06:41,2026-08-16 15:06:41,Pratyush Rama,Police Head Constable 6306,+91-1705882627,"45/280, Mannan Circle, Jamnagar-680658",Ekalinga Kaur,Inspector of Police,POBN75287,Md. Zayyan Ahluwalia,+91-0421607034,40,1999,"610, Doctor Ganj, Vadodara-469777",Unemployed,Mole on neck,Sion Hospital Mumbai
0939/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-11 13:29:06,2026-07-11 17:29:06,Warinder Lata,Police Head Constable 1843,+91-2433556780,"79/99, Toor Marg, Gwalior-486785",Arin Keer,Inspector of Police,POBN70274,Md. Rudra Sant,+91-7744695455,45,2002,"H.No. 761, Kapur Road, Kanpur 390992",Daily Wager,Mole on neck,Sion Hospital Mumbai
0869/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-19 01:03:30,2026-08-19 02:03:30,Advay Palan,Police Head Constable 7278,+91-9860691998,"H.No. 378, Virk Road, Bhusawal-347816",Wriddhish Biswas,Inspector of Police,POBN71064,Md. Fitan Mander,+91-0283885531,43,1989,"78/169, Chhabra Path, Ranchi-543158",Driver,Scar on left cheek,Nair Hospital Mumbai
0918/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 21:23:11,2026-08-20 22:23:11,Arin Tripathi,Police Head Constable 7126,+91-6833101105,"87/606, Sood Marg, Nagercoil 418242",Rehaan Aggarwal,Inspector of Police,POBN65342,Md. Nachiket Desai,+91-3029050253,41,2000,"H.No. 72, Sodhi Zila, Malegaon-819202",Unemployed,Tattoo on forearm,Nair Hospital Mumbai
0196/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-04 09:52:47,2026-08-04 12:52:47,Nitesh Chandra,Police Head Constable 2981,+91-6511495292,"H.No. 402, Oommen Nagar, Miryalaguda 088769",Gaurav Sharma,Inspector of Police,POBN80897,Md. Maanav Tailor,+91-4860124675,50,1981,"45/45, Bali Path, Dhule-866737",Daily Wager,Tattoo on forearm,Sion Hospital Mumbai
0191/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-04 01:54:48,2026-08-04 04:54:48,Gunbir Deol,Police Head Constable 8632,+91-7006407676,"26/301, Tandon Nagar, Tumkur 344706",Shaurya Sharma,Inspector of Police,POBN45806,Md. Balendra Nayak,+91-7309005344,36,1975,"28/140, Patla Chowk, Karimnagar 401996",Vendor,Pockmarks on face,Sion Hospital Mumbai
0370/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-27 05:08:01,2026-08-27 09:08:01,Ranveer Bhalla,Police Head Constable 7825,+91-8870015097,"91/866, Gulati Circle, Rohtak-656079",Onveer Swaminathan,Inspector of Police,POBN94536,Md. Robert Narain,+91-0909634931,27,2002,"26, Vora Street, Nizamabad 067465",Private Worker,,Nair Hospital Mumbai
0593/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-05 05:09:33,2026-09-05 09:09:33,Manthan Tandon,Police Head Constable 5941,+91-7037172585,"590, Kadakia Road, Tezpur 058319",David Anne,Inspector of Police,POBN74525,Md. Tanveer Choudhary,+91-1407733840,43,1985,"H.No. 82, Mani Marg, Ambattur 331894",Vendor,Tattoo on forearm,Nair Hospital Mumbai
0634/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-04 05:36:56,2026-09-04 08:36:56,Chanakya Jaggi,Police Head Constable 1873,+91-6399894939,"32/39, Rao Zila, Chapra-632207",Ayaan Dhawan,Inspector of Police,POBN78231,Md. Azad Mannan,+91-8472516266,24,1976,"53/325, Sharma Path, Jalna-136347",Driver,Pockmarks on face,Nair Hospital Mumbai
0489/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-19 23:13:39,2026-07-20 02:13:39,Udarsh Soman,Police Head Constable 5675,+91-6666266928,"36/785, Dhaliwal Street, Saharanpur 976905",Oscar Parsa,Inspector of Police,POBN39790,Md. Amol Mody,+91-5730267951,32,1975,"99, Rai Street, Gwalior-252619",Unemployed,Pockmarks on face,KEM Hospital Mumbai
0399/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-01 18:32:03,2026-09-01 20:32:03,Tristan Saraf,Police Head Constable 4006,+91-6702256423,"18, Pradhan Nagar, Loni-219002",Aadi Suresh,Inspector of Police,POBN86927,Md. Zaid Bhattacharyya,+91-9402246831,34,1999,"56/792, Thaker Nagar, Tiruvottiyur-673339",Unemployed,,Nair Hospital Mumbai
0827/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-22 18:47:58,2026-07-22 21:47:58,Vivaan Karnik,Police Head Constable 7726,+91-7695255689,"13/12, Bath Zila, Hajipur 410613",Nathaniel Balan,Inspector of Police,POBN51906,Md. Nicholas Karpe,+91-8749925305,54,2002,"H.No. 874, De Nagar, Jalna 107663",Private Worker,Tattoo on forearm,Nair Hospital Mumbai
0847/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-22 23:58:01,2026-08-23 00:58:01,Ayushman Soni,Police Head Constable 9217,+91-9810657397,"53, Sant Zila, Nizamabad-634759",Chatura Hans,Inspector of Police,POBN84224,Md. Indrajit Kunda,+91-6926567843,37,1994,"H.No. 016, Konda Ganj, Amritsar-101314",Private Worker,Pockmarks on face,Nair Hospital Mumbai
0307/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-12 10:11:43,2026-08-12 12:11:43,Viraj Peri,Police Head Constable 5387,+91-3078089411,"H.No. 906, Deep Chowk, Bharatpur-348683",Falan Sawhney,Inspector of Police,POBN38633,Md. Akshay Lata,+91-2325906102,31,1987,"H.No. 32, Vig Circle, Nagercoil-693835",Vendor,Mole on neck,Sion Hospital Mumbai
0789/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-10 21:45:55,2026-08-11 01:45:55,Vivaan Choudhury,Police Head Constable 9693,+91-2247053630,"20/32, Borde Circle, Ajmer-133313",Sai Kaul,Inspector of Police,POBN63776,Md. Tejas Nigam,+91-4414875019,31,1998,"H.No. 987, Dhingra Nagar, Delhi 840190",Unemployed,,Sion Hospital Mumbai
0509/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-07 21:41:12,2026-08-07 23:41:12,Siddharth Choudhary,Police Head Constable 5424,+91-8315637511,"55, Ramakrishnan Road, Anantapur-333890",Zehaan Srinivas,Inspector of Police,POBN14824,Md. Elijah Ganguly,+91-6320194538,23,1992,"049, Sur, Rajahmundry-325404",Unemployed,,Sion Hospital Mumbai
0605/2026,Bhoiwada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 05:09:33,2026-08-25 06:09:33,Dalbir Reddy,Police Head Constable 8842,+91-4327753411,"31, Mutti Street, Ballia-408277",Krishna Dar,Inspector of Police,POBN77607,Md. Reyansh Mangal,+91-0193610079,53,1969,"37, Shanker Path, Sultan Pur Majra 177739",Vendor,,Nair Hospital Mumbai
0486/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-03 02:12:18,2026-09-03 05:12:18,Owen Rajagopalan,Police Head Constable 7862,+91-4160665874,"H.No. 398, Lad Ganj, Warangal-198397",Darsh Bera,Inspector of Police,POBN94462,Md. Jatin Murthy,+91-0437844453,60,1967,"33/14, Merchant Street, Nagercoil-218988",Driver,Pockmarks on face,Sion Hospital Mumbai
0725/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-07 18:52:59,2026-08-07 22:52:59,Tarak Doctor,Police Head Constable 5336,+91-8045042899,"36, Pandit Nagar, Pune-240948",Pranav Sant,Inspector of Police,POBN70182,Md. Anay Minhas,+91-4475823294,51,1975,"21/521, Char Street, Dindigul-139633",Private Worker,Pockmarks on face,KEM Hospital Mumbai
0456/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-17 05:10:08,2026-07-17 08:10:08,Aditya Ahluwalia,Police Head Constable 4392,+91-7602390164,"H.No. 046, Dey Nagar, Shimla-022283",Yash Memon,Inspector of Police,POBN56895,Md. Jeet Saha,+91-2751214628,60,1988,"72/251, Babu Road, Thoothukudi-043129",Unemployed,Tattoo on forearm,Nair Hospital Mumbai
0413/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-20 08:44:23,2026-08-20 11:44:23,Shaurya Bhatt,Police Head Constable 1502,+91-0235794923,"H.No. 33, Purohit, Gwalior 064890",Brijesh Bumb,Inspector of Police,POBN14704,Md. Wriddhish Varty,+91-8726663475,35,1984,"07, Sachdev Road, Muzaffarnagar-504966",Driver,Scar on left cheek,Nair Hospital Mumbai
0053/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 18:55:39,2026-08-25 20:55:39,Atharv Seshadri,Police Head Constable 2920,+91-5053320862,"11/888, Dhawan Path, Kulti 737046",William Chacko,Inspector of Police,POBN31753,Md. Kevin Ganesan,+91-5505012573,41,1994,"78/484, Ram Street, Kalyan-Dombivli-359386",Private Worker,Pockmarks on face,Sion Hospital Mumbai
0263/2026,Tardeo Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-15 06:57:45,2026-07-15 09:57:45,Zayan Borde,Police Head Constable 1761,+91-5847072706,"41, Ram Marg, Nashik 776376",Samesh Bail,Inspector of Police,POBN56293,Md. Frado Dhingra,+91-0333553548,25,1994,"18/36, Buch Path, Mau 994042",Private Worker,Pockmarks on face,Nair Hospital Mumbai
0039/2026,Kalachowki Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-22 06:35:53,2026-07-22 08:35:53,Lakshit Prakash,Police Head Constable 2575,+91-3989805579,"H.No. 57, Sridhar Path, Serampore-863510",Daniel Koshy,Inspector of Police,POBN49773,Md. Naveen Tailor,+91-1549231524,38,1977,"H.No. 412, Cherian Road, Jorhat 073514",Driver,,KEM Hospital Mumbai
0856/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-02 04:35:52,2026-09-02 06:35:52,Avi Bora,Police Head Constable 7221,+91-3592937331,"19/304, Dhar Zila, Bellary 460007",Abdul Pradhan,Inspector of Police,POBN90910,Md. Dominic Gupta,+91-9954528199,36,1978,"497, Panchal Road, Kumbakonam 532840",Vendor,Scar on left cheek,Nair Hospital Mumbai
0728/2026,Worli Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-17 21:57:18,2026-08-18 01:57:18,Maanas Din,Police Head Constable 3783,+91-0353284375,"H.No. 464, Sarna Nagar, Barasat-356081",Hardik Brahmbhatt,Inspector of Police,POBN48122,Md. Frederick Nori,+91-0009063115,55,1999,"36/441, Dora Ganj, Delhi-586473",Driver,Scar on left cheek,Sion Hospital Mumbai
0596/2026,Byculla Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-18 01:43:26,2026-08-18 04:43:26,Manbir Khatri,Police Head Constable 5602,+91-4683045805,"68/299, Jha Road, Durgapur-674879",Pranit Bakshi,Inspector of Police,POBN36002,Md. Brijesh Goda,+91-6454080360,48,1974,"33, Virk Marg, Amravati 466977",Daily Wager,Mole on neck,Nair Hospital Mumbai
0654/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-16 01:33:30,2026-07-16 05:33:30,Krishna Tank,Police Head Constable 5676,+91-4347329687,"82/10, Arya Nagar, Berhampur 357296",Hemang Mittal,Inspector of Police,POBN19247,Md. Qadim Solanki,+91-6530338206,25,1998,"H.No. 039, Rajagopalan Ganj, Warangal 159772",Driver,Tattoo on forearm,KEM Hospital Mumbai
0573/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-25 01:05:59,2026-08-25 02:05:59,Arjun Chakrabarti,Police Head Constable 2694,+91-2825102616,"808, Verma Zila, Katni-521941",Luke Chatterjee,Inspector of Police,POBN68352,Md. Daniel Raman,+91-5203140569,37,1967,"66, Kulkarni Marg, Haldia 016379",Driver,,KEM Hospital Mumbai
0225/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-27 04:58:13,2026-07-27 05:58:13,Om Purohit,Police Head Constable 3690,+91-5953993995,"490, Walla Chowk, Raiganj-405188",Dhruv Ramakrishnan,Inspector of Police,POBN29118,Md. Vihaan Vohra,+91-1608300776,48,1988,"H.No. 41, Sani Circle, Amaravati-650012",Unemployed,Scar on left cheek,Nair Hospital Mumbai
0683/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-01 07:16:02,2026-08-01 08:16:02,Wahab Hayre,Police Head Constable 6166,+91-4951314521,"460, Memon Chowk, Bidar-793519",Oscar Uppal,Inspector of Police,POBN54442,Md. David Nayak,+91-0908250618,51,1981,"H.No. 10, Kumar Ganj, Navi Mumbai 554174",Unemployed,,Nair Hospital Mumbai
0430/2026,Agripada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-16 17:49:37,2026-07-16 20:49:37,Michael Tak,Police Head Constable 5749,+91-8147100696,"H.No. 80, Murthy Marg, Udupi-533093",Chandresh Dass,Inspector of Police,POBN73078,Md. Harish Bali,+91-6463599241,31,1967,"48/973, Bath Zila, Gurgaon 385665",Driver,Tattoo on forearm,KEM Hospital Mumbai
0123/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-09-01 12:40:47,2026-09-01 14:40:47,Rudra Bhat,Police Head Constable 1082,+91-6677816490,"64/63, Narain Street, Bharatpur-130027",Rehaan Shah,Inspector of Police,POBN22914,Md. Matthew Om,+91-2323764440,38,1971,"H.No. 216, Agarwal Nagar, Durg-957986",Vendor,,Sion Hospital Mumbai
0168/2026,Nagpada Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-07-19 23:49:26,2026-07-20 01:49:26,Zehaan Ray,Police Head Constable 6404,+91-7978241298,"H.No. 98, Tella Road, Gorakhpur 001625",Indrajit Chaudhary,Inspector of Police,POBN53387,Md. Rayaan Bhavsar,+91-9135444363,26,1991,"49/33, Dewan Nagar, Durgapur-299985",Vendor,Pockmarks on face,Nair Hospital Mumbai
0755/2026,Dadar Police Station,"Brihanmumbai City, Maharashtra","Maharashtra Prohibition Act, 1949 - Sec 85(1)",2026-08-16 08:20:19,2026-08-16 11:20:19,Karan Mander,Police Head Constable 3847,+91-5355451421,"36/48, Patil Road, Bhiwandi 620368",Reyansh Nayar,Inspector of Police,POBN84551,Md. Hemang Shere,+91-1359460122,42,1991,"12, Gole Circle, Rajkot-845589",Vendor,Pockmarks on face,KEM Hospital Mumbai
