sighting_id,fir_number,suspect_name,sighting_timestamp,camera_id,camera_location,nearest_known_location,distance_from_incident_meters,match_confidence,sighting_status
CCTV-0012-01,0844/2026,Md. Yagnesh Srinivasan,2026-07-28 03:45:58,MH-CCTV-2960,"Market Entrance, Dadar, Mumbai","Dadar, Mumbai",798,0.81,Potential Match
CCTV-0013-01,0496/2026,Md. Harsh Balan,2026-09-06 18:31:11,MH-CCTV-8027,"Bus Stop Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",357,0.92,Verified Match
CCTV-0014-01,0386/2026,Md. Harrison Ravi,2026-07-09 15:48:09,MH-CCTV-4500,"Shopping Lane Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",347,0.81,Potential Match
CCTV-0014-02,0386/2026,Md. Harrison Ravi,2026-07-09 13:25:09,MH-CCTV-5889,"Station Road Junction, Byculla West, Mumbai","Byculla West, Mumbai",631,0.85,Potential Match
CCTV-0015-01,0565/2026,Md. Rushil Magar,2026-08-12 22:27:29,MH-CCTV-9482,"Main Road Traffic Signal, Lower Parel, Mumbai","Lower Parel, Mumbai",148,0.93,Verified Match
CCTV-0015-02,0565/2026,Md. Rushil Magar,2026-08-13 03:19:29,MH-CCTV-7012,"Flyover Service Road, Grant Road, Mumbai","Grant Road, Mumbai",652,0.85,Verified Match
CCTV-0016-01,0885/2026,Md. Rudra Rana,2026-07-18 07:10:59,MH-CCTV-3520,"Shopping Lane Entrance, Nagpada, Mumbai","Nagpada, Mumbai",787,0.73,Verified Match
CCTV-0016-02,0885/2026,Md. Rudra Rana,2026-07-18 03:09:59,MH-CCTV-6974,"Bus Stop Junction, Agripada, Mumbai","Agripada, Mumbai",671,0.78,Verified Match
CCTV-0017-01,0742/2026,Md. Anthony Batta,2026-07-13 00:15:17,MH-CCTV-8159,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",442,0.65,Under Review
CCTV-0017-02,0742/2026,Md. Anthony Batta,2026-07-12 19:59:17,MH-CCTV-2999,"Flyover Service Road, Grant Road, Mumbai","Grant Road, Mumbai",437,0.79,Verified Match
CCTV-0018-01,0122/2026,Md. Dev Sami,2026-07-25 00:56:43,MH-CCTV-2802,"Market Entrance, Worli, Mumbai","Worli, Mumbai",367,0.89,Under Review
CCTV-0018-02,0122/2026,Md. Dev Sami,2026-07-25 03:49:43,MH-CCTV-2104,"Station Road Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",689,0.99,Verified Match
CCTV-0019-01,0523/2026,Md. Max Narayan,2026-09-02 09:57:51,MH-CCTV-4335,"Shopping Lane Entrance, Byculla West, Mumbai","Byculla West, Mumbai",552,0.78,Potential Match
CCTV-0020-01,0448/2026,Md. Hredhaan Purohit,2026-08-16 19:34:41,MH-CCTV-2873,"Market Entrance, Grant Road, Mumbai","Grant Road, Mumbai",331,0.8,Verified Match
CCTV-0020-02,0448/2026,Md. Hredhaan Purohit,2026-08-16 20:48:41,MH-CCTV-1546,"Public Footpath Corner, Grant Road, Mumbai","Grant Road, Mumbai",335,0.94,Potential Match
CCTV-0021-01,0004/2026,Md. Chandran Setty,2026-08-20 09:17:27,MH-CCTV-1542,"Metro Access Road, Nagpada, Mumbai","Nagpada, Mumbai",59,0.88,Potential Match
CCTV-0022-01,0161/2026,Md. Rishi Kumer,2026-07-13 23:18:06,MH-CCTV-2737,"Bus Stop Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",293,0.82,Potential Match
CCTV-0022-02,0161/2026,Md. Rishi Kumer,2026-07-13 23:25:06,MH-CCTV-8355,"Bus Stop Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",264,0.87,Potential Match
CCTV-0023-01,0543/2026,Md. Arin Hegde,2026-07-17 14:55:16,MH-CCTV-3616,"Shopping Lane Entrance, Grant Road, Mumbai","Grant Road, Mumbai",367,0.75,Under Review
CCTV-0023-02,0543/2026,Md. Arin Hegde,2026-07-17 13:56:16,MH-CCTV-7821,"Bus Stop Junction, Nagpada, Mumbai","Nagpada, Mumbai",502,0.69,Potential Match
CCTV-0024-01,0725/2026,Md. Hardik Rout,2026-08-01 05:43:51,MH-CCTV-9075,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",654,0.87,Potential Match
CCTV-0025-01,0598/2026,Md. Jeremiah Date,2026-08-09 08:02:23,MH-CCTV-7716,"Bus Stop Junction, Byculla West, Mumbai","Byculla West, Mumbai",714,0.78,Verified Match
CCTV-0025-02,0598/2026,Md. Jeremiah Date,2026-08-09 05:45:23,MH-CCTV-9204,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",313,0.72,Verified Match
CCTV-0026-01,0264/2026,Md. Patrick Dani,2026-07-12 06:39:39,MH-CCTV-3894,"Metro Access Road, Worli, Mumbai","Worli, Mumbai",336,0.67,Under Review
CCTV-0026-02,0264/2026,Md. Patrick Dani,2026-07-12 08:17:39,MH-CCTV-2198,"Public Footpath Corner, Agripada, Mumbai","Agripada, Mumbai",75,0.91,Verified Match
CCTV-0027-01,0262/2026,Md. Yug Desai,2026-08-06 16:24:46,MH-CCTV-2897,"Main Road Traffic Signal, Grant Road, Mumbai","Grant Road, Mumbai",458,0.94,Potential Match
CCTV-0028-01,0526/2026,Md. Benjamin Prabhu,2026-07-23 00:29:39,MH-CCTV-4003,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",359,0.93,Potential Match
CCTV-0029-01,0035/2026,Md. Patrick Deshmukh,2026-07-22 11:11:22,MH-CCTV-6427,"Main Road Traffic Signal, Dadar, Mumbai","Dadar, Mumbai",515,0.72,Verified Match
CCTV-0029-02,0035/2026,Md. Patrick Deshmukh,2026-07-22 13:33:22,MH-CCTV-6988,"Flyover Service Road, Byculla West, Mumbai","Byculla West, Mumbai",459,0.78,Verified Match
CCTV-0030-01,0348/2026,Md. Agastya Saran,2026-07-27 06:28:12,MH-CCTV-9007,"Public Footpath Corner, Worli, Mumbai","Worli, Mumbai",606,0.67,Potential Match
CCTV-0030-02,0348/2026,Md. Agastya Saran,2026-07-27 10:03:12,MH-CCTV-6501,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",180,0.96,Under Review
CCTV-0031-01,0980/2026,Md. Logan Choudhry,2026-07-15 11:45:58,MH-CCTV-4773,"Station Road Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",722,0.94,Verified Match
CCTV-0032-01,0234/2026,Md. Anthony Bora,2026-07-27 00:55:18,MH-CCTV-6391,"Metro Access Road, Grant Road, Mumbai","Grant Road, Mumbai",180,0.98,Verified Match
CCTV-0033-01,0441/2026,Md. Tanveer Deol,2026-07-17 13:29:06,MH-CCTV-6357,"Bus Stop Junction, Agripada, Mumbai","Agripada, Mumbai",634,0.9,Under Review
CCTV-0033-02,0441/2026,Md. Tanveer Deol,2026-07-17 15:55:06,MH-CCTV-8118,"Station Road Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",335,0.95,Potential Match
CCTV-0034-01,0834/2026,Md. Isaiah Chauhan,2026-08-26 00:36:07,MH-CCTV-1212,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",392,0.93,Under Review
CCTV-0035-01,0703/2026,Md. Hemang Krish,2026-07-18 11:41:13,MH-CCTV-7784,"Shopping Lane Entrance, Byculla West, Mumbai","Byculla West, Mumbai",486,0.82,Under Review
CCTV-0035-02,0703/2026,Md. Hemang Krish,2026-07-18 09:49:13,MH-CCTV-1685,"Main Road Traffic Signal, Kalachowki, Mumbai","Kalachowki, Mumbai",464,0.95,Verified Match
CCTV-0036-01,0185/2026,Md. Isaiah Bala,2026-08-04 13:22:24,MH-CCTV-5815,"Bus Stop Junction, Lower Parel, Mumbai","Lower Parel, Mumbai",420,0.78,Verified Match
CCTV-0036-02,0185/2026,Md. Isaiah Bala,2026-08-04 13:02:24,MH-CCTV-9710,"Flyover Service Road, Kalachowki, Mumbai","Kalachowki, Mumbai",721,0.99,Under Review
CCTV-0037-01,0559/2026,Md. Kalpit Bhattacharyya,2026-08-22 08:18:32,MH-CCTV-9053,"Bus Stop Junction, Dadar, Mumbai","Dadar, Mumbai",301,0.82,Under Review
CCTV-0038-01,0074/2026,Md. Indrajit Butala,2026-08-04 03:34:10,MH-CCTV-2272,"Metro Access Road, Kalachowki, Mumbai","Kalachowki, Mumbai",175,0.95,Verified Match
CCTV-0039-01,0125/2026,Md. Fiyaz D’Alia,2026-08-09 06:43:47,MH-CCTV-8542,"Public Footpath Corner, Worli, Mumbai","Worli, Mumbai",538,0.78,Verified Match
CCTV-0039-02,0125/2026,Md. Fiyaz D’Alia,2026-08-09 07:28:47,MH-CCTV-7614,"Market Entrance, Byculla West, Mumbai","Byculla West, Mumbai",651,0.88,Potential Match
CCTV-0040-01,0143/2026,Md. Qadim Gaba,2026-07-29 17:47:07,MH-CCTV-9640,"Shopping Lane Entrance, Lower Parel, Mumbai","Lower Parel, Mumbai",704,0.92,Under Review
CCTV-0040-02,0143/2026,Md. Qadim Gaba,2026-07-29 16:43:07,MH-CCTV-4334,"Metro Access Road, Agripada, Mumbai","Agripada, Mumbai",335,0.88,Potential Match
CCTV-0041-01,0497/2026,Md. Saksham Morar,2026-07-23 12:06:48,MH-CCTV-7597,"Public Footpath Corner, Kalachowki, Mumbai","Kalachowki, Mumbai",428,0.91,Potential Match
CCTV-0041-02,0497/2026,Md. Saksham Morar,2026-07-23 14:57:48,MH-CCTV-3968,"Metro Access Road, Nagpada, Mumbai","Nagpada, Mumbai",384,0.86,Potential Match
CCTV-0042-01,0261/2026,Md. Mitesh Shankar,2026-09-06 23:32:59,MH-CCTV-6276,"Shopping Lane Entrance, Agripada, Mumbai","Agripada, Mumbai",155,0.82,Potential Match
CCTV-0042-02,0261/2026,Md. Mitesh Shankar,2026-09-07 01:00:59,MH-CCTV-5628,"Public Footpath Corner, Lower Parel, Mumbai","Lower Parel, Mumbai",683,0.92,Under Review
CCTV-0043-01,0683/2026,Md. Yug Mody,2026-09-04 06:55:49,MH-CCTV-5055,"Public Footpath Corner, Agripada, Mumbai","Agripada, Mumbai",590,0.9,Verified Match
CCTV-0044-01,0051/2026,Md. Bahadurjit Sachar,2026-08-17 15:35:56,MH-CCTV-3182,"Metro Access Road, Nagpada, Mumbai","Nagpada, Mumbai",555,0.78,Potential Match
CCTV-0044-02,0051/2026,Md. Bahadurjit Sachar,2026-08-17 10:24:56,MH-CCTV-7302,"Shopping Lane Entrance, Agripada, Mumbai","Agripada, Mumbai",505,0.7,Verified Match
CCTV-0045-01,0605/2026,Md. Nachiket Prasad,2026-08-20 21:21:06,MH-CCTV-8830,"Bus Stop Junction, Dadar, Mumbai","Dadar, Mumbai",620,0.81,Potential Match
CCTV-0046-01,0456/2026,Md. Pranav Vig,2026-08-27 16:14:48,MH-CCTV-5439,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",283,0.81,Under Review
CCTV-0046-02,0456/2026,Md. Pranav Vig,2026-08-27 19:47:48,MH-CCTV-7651,"Flyover Service Road, Grant Road, Mumbai","Grant Road, Mumbai",609,0.92,Under Review
CCTV-0047-01,0107/2026,Md. Ekalinga Pall,2026-08-22 15:27:57,MH-CCTV-6859,"Metro Access Road, Nagpada, Mumbai","Nagpada, Mumbai",111,0.91,Potential Match
CCTV-0048-01,0460/2026,Md. Shaurya Srivastava,2026-08-08 19:38:57,MH-CCTV-3666,"Bus Stop Junction, Nagpada, Mumbai","Nagpada, Mumbai",351,0.89,Potential Match
CCTV-0048-02,0460/2026,Md. Shaurya Srivastava,2026-08-08 17:49:57,MH-CCTV-6412,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",674,0.89,Under Review
CCTV-0049-01,0565/2026,Md. Samesh Sood,2026-08-22 12:48:16,MH-CCTV-2008,"Market Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",665,0.66,Under Review
CCTV-0050-01,0593/2026,Md. Agastya Handa,2026-08-24 04:04:55,MH-CCTV-6525,"Market Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",419,0.72,Under Review
CCTV-0051-01,0213/2026,Md. Dalbir Sani,2026-07-29 07:14:44,MH-CCTV-1513,"Bus Stop Junction, Dadar, Mumbai","Dadar, Mumbai",161,0.78,Under Review
CCTV-0052-01,0249/2026,Md. Onkar Bains,2026-07-12 16:05:24,MH-CCTV-6821,"Main Road Traffic Signal, Kalachowki, Mumbai","Kalachowki, Mumbai",587,0.8,Verified Match
CCTV-0053-01,0112/2026,Md. Gautam Som,2026-07-31 06:36:07,MH-CCTV-2749,"Station Road Junction, Agripada, Mumbai","Agripada, Mumbai",64,0.92,Under Review
CCTV-0053-02,0112/2026,Md. Gautam Som,2026-07-31 04:08:07,MH-CCTV-7839,"Flyover Service Road, Nagpada, Mumbai","Nagpada, Mumbai",346,0.98,Potential Match
CCTV-0054-01,0664/2026,Md. Zayyan Hegde,2026-08-28 02:57:54,MH-CCTV-9633,"Market Entrance, Worli, Mumbai","Worli, Mumbai",749,0.8,Under Review
CCTV-0054-02,0664/2026,Md. Zayyan Hegde,2026-08-28 06:57:54,MH-CCTV-2780,"Station Road Junction, Nagpada, Mumbai","Nagpada, Mumbai",192,0.9,Potential Match
CCTV-0055-01,0513/2026,Md. Ayush Borde,2026-08-16 12:18:45,MH-CCTV-1432,"Shopping Lane Entrance, Agripada, Mumbai","Agripada, Mumbai",86,0.81,Potential Match
CCTV-0055-02,0513/2026,Md. Ayush Borde,2026-08-16 12:06:45,MH-CCTV-7258,"Main Road Traffic Signal, Dadar, Mumbai","Dadar, Mumbai",352,0.79,Verified Match
CCTV-0056-01,0536/2026,Md. Ekansh Kaur,2026-08-29 19:12:00,MH-CCTV-2207,"Bus Stop Junction, Agripada, Mumbai","Agripada, Mumbai",746,0.92,Verified Match
CCTV-0056-02,0536/2026,Md. Ekansh Kaur,2026-08-29 23:38:00,MH-CCTV-1276,"Market Entrance, Agripada, Mumbai","Agripada, Mumbai",466,0.77,Potential Match
CCTV-0057-01,0615/2026,Md. Daksh Bhandari,2026-09-02 18:37:29,MH-CCTV-8291,"Bus Stop Junction, Grant Road, Mumbai","Grant Road, Mumbai",74,0.88,Potential Match
CCTV-0058-01,0933/2026,Md. Benjamin Kohli,2026-07-23 21:22:06,MH-CCTV-1045,"Shopping Lane Entrance, Grant Road, Mumbai","Grant Road, Mumbai",527,0.84,Potential Match
CCTV-0058-02,0933/2026,Md. Benjamin Kohli,2026-07-23 21:22:06,MH-CCTV-1778,"Metro Access Road, Worli, Mumbai","Worli, Mumbai",753,0.75,Under Review
CCTV-0059-01,0834/2026,Md. Liam Puri,2026-08-15 17:49:04,MH-CCTV-3429,"Station Road Junction, Lower Parel, Mumbai","Lower Parel, Mumbai",685,0.72,Potential Match
CCTV-0059-02,0834/2026,Md. Liam Puri,2026-08-15 17:35:04,MH-CCTV-6474,"Bus Stop Junction, Lower Parel, Mumbai","Lower Parel, Mumbai",333,0.82,Under Review
CCTV-0060-01,0584/2026,Md. Peter Kumer,2026-08-01 19:02:24,MH-CCTV-8729,"Metro Access Road, Dadar, Mumbai","Dadar, Mumbai",348,0.87,Potential Match
CCTV-0060-02,0584/2026,Md. Peter Kumer,2026-08-01 19:05:24,MH-CCTV-9350,"Bus Stop Junction, Dadar, Mumbai","Dadar, Mumbai",286,0.72,Under Review
CCTV-0061-01,0843/2026,Md. Fariq Dutta,2026-08-08 02:13:23,MH-CCTV-7472,"Station Road Junction, Byculla West, Mumbai","Byculla West, Mumbai",379,0.69,Under Review
CCTV-0062-01,0473/2026,Md. Azad Sinha,2026-07-25 22:19:24,MH-CCTV-8486,"Flyover Service Road, Grant Road, Mumbai","Grant Road, Mumbai",592,0.71,Under Review
CCTV-0063-01,0565/2026,Md. Nathan Singh,2026-08-22 22:48:29,MH-CCTV-7467,"Main Road Traffic Signal, Dadar, Mumbai","Dadar, Mumbai",492,0.9,Under Review
CCTV-0064-01,0236/2026,Md. Balendra Bhagat,2026-08-16 04:54:10,MH-CCTV-3593,"Shopping Lane Entrance, Nagpada, Mumbai","Nagpada, Mumbai",409,0.76,Under Review
CCTV-0064-02,0236/2026,Md. Balendra Bhagat,2026-08-16 00:06:10,MH-CCTV-2925,"Shopping Lane Entrance, Lower Parel, Mumbai","Lower Parel, Mumbai",633,0.79,Verified Match
CCTV-0065-01,0492/2026,Md. Rehaan Chaudry,2026-08-18 01:22:32,MH-CCTV-9578,"Flyover Service Road, Byculla West, Mumbai","Byculla West, Mumbai",520,0.7,Verified Match
CCTV-0065-02,0492/2026,Md. Rehaan Chaudry,2026-08-18 01:30:32,MH-CCTV-5503,"Station Road Junction, Nagpada, Mumbai","Nagpada, Mumbai",495,0.68,Potential Match
CCTV-0066-01,0838/2026,Md. Girindra Mohan,2026-08-17 18:03:33,MH-CCTV-7216,"Shopping Lane Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",62,0.75,Under Review
CCTV-0066-02,0838/2026,Md. Girindra Mohan,2026-08-17 16:03:33,MH-CCTV-7052,"Station Road Junction, Nagpada, Mumbai","Nagpada, Mumbai",361,0.99,Under Review
CCTV-0067-01,0266/2026,Md. Samuel Buch,2026-08-13 11:08:20,MH-CCTV-8059,"Shopping Lane Entrance, Worli, Mumbai","Worli, Mumbai",765,0.81,Under Review
CCTV-0068-01,0687/2026,Md. Joshua Prasad,2026-07-09 16:53:39,MH-CCTV-9727,"Bus Stop Junction, Byculla West, Mumbai","Byculla West, Mumbai",158,0.78,Under Review
CCTV-0068-02,0687/2026,Md. Joshua Prasad,2026-07-09 20:30:39,MH-CCTV-2630,"Bus Stop Junction, Agripada, Mumbai","Agripada, Mumbai",580,0.89,Under Review
CCTV-0069-01,0706/2026,Md. Mitesh Purohit,2026-08-26 08:36:59,MH-CCTV-2503,"Main Road Traffic Signal, Byculla West, Mumbai","Byculla West, Mumbai",527,0.84,Under Review
CCTV-0069-02,0706/2026,Md. Mitesh Purohit,2026-08-26 10:16:59,MH-CCTV-7272,"Flyover Service Road, Kalachowki, Mumbai","Kalachowki, Mumbai",684,0.72,Under Review
CCTV-0070-01,0175/2026,Md. Tanish Kurian,2026-08-20 20:42:03,MH-CCTV-3951,"Market Entrance, Worli, Mumbai","Worli, Mumbai",314,0.79,Potential Match
CCTV-0071-01,0444/2026,Md. Wriddhish Buch,2026-09-04 10:48:35,MH-CCTV-4534,"Main Road Traffic Signal, Nagpada, Mumbai","Nagpada, Mumbai",688,0.84,Verified Match
CCTV-0072-01,0711/2026,Md. Samarth Bains,2026-08-26 06:28:06,MH-CCTV-9194,"Shopping Lane Entrance, Dadar, Mumbai","Dadar, Mumbai",320,0.82,Potential Match
CCTV-0072-02,0711/2026,Md. Samarth Bains,2026-08-26 03:33:06,MH-CCTV-2257,"Metro Access Road, Byculla West, Mumbai","Byculla West, Mumbai",176,0.77,Potential Match
CCTV-0073-01,0285/2026,Md. Om Batta,2026-08-17 18:38:42,MH-CCTV-8990,"Bus Stop Junction, Nagpada, Mumbai","Nagpada, Mumbai",793,0.73,Potential Match
CCTV-0073-02,0285/2026,Md. Om Batta,2026-08-17 22:28:42,MH-CCTV-3687,"Station Road Junction, Nagpada, Mumbai","Nagpada, Mumbai",191,0.87,Potential Match
CCTV-0074-01,0928/2026,Md. Zehaan Grewal,2026-08-23 03:32:48,MH-CCTV-5575,"Metro Access Road, Worli, Mumbai","Worli, Mumbai",410,0.86,Under Review
CCTV-0074-02,0928/2026,Md. Zehaan Grewal,2026-08-23 08:32:48,MH-CCTV-1251,"Metro Access Road, Kalachowki, Mumbai","Kalachowki, Mumbai",201,0.82,Under Review
CCTV-0075-01,0639/2026,Md. Isaac Mishra,2026-08-15 14:52:49,MH-CCTV-1376,"Bus Stop Junction, Grant Road, Mumbai","Grant Road, Mumbai",574,0.99,Potential Match
CCTV-0075-02,0639/2026,Md. Isaac Mishra,2026-08-15 14:58:49,MH-CCTV-8787,"Station Road Junction, Agripada, Mumbai","Agripada, Mumbai",449,0.89,Verified Match
CCTV-0076-01,0613/2026,Md. Udant Khurana,2026-08-11 23:26:07,MH-CCTV-5577,"Flyover Service Road, Nagpada, Mumbai","Nagpada, Mumbai",244,0.96,Verified Match
CCTV-0077-01,0400/2026,Md. Ansh Bhandari,2026-07-20 17:11:37,MH-CCTV-7470,"Public Footpath Corner, Dadar, Mumbai","Dadar, Mumbai",232,0.68,Verified Match
CCTV-0078-01,0311/2026,Md. Ansh Rau,2026-07-24 13:14:10,MH-CCTV-5211,"Main Road Traffic Signal, Kalachowki, Mumbai","Kalachowki, Mumbai",504,0.85,Under Review
CCTV-0079-01,0172/2026,Md. Vedant Sha,2026-08-23 16:28:24,MH-CCTV-9188,"Main Road Traffic Signal, Worli, Mumbai","Worli, Mumbai",213,0.72,Verified Match
CCTV-0080-01,0601/2026,Md. Charan Rege,2026-08-01 22:10:59,MH-CCTV-9532,"Public Footpath Corner, Agripada, Mumbai","Agripada, Mumbai",225,0.82,Verified Match
CCTV-0080-02,0601/2026,Md. Charan Rege,2026-08-01 22:15:59,MH-CCTV-6590,"Main Road Traffic Signal, Lower Parel, Mumbai","Lower Parel, Mumbai",156,0.97,Potential Match
CCTV-0081-01,0312/2026,Md. Ranveer Divan,2026-07-17 12:09:12,MH-CCTV-9823,"Flyover Service Road, Lower Parel, Mumbai","Lower Parel, Mumbai",274,0.89,Under Review
CCTV-0081-02,0312/2026,Md. Ranveer Divan,2026-07-17 12:01:12,MH-CCTV-8954,"Bus Stop Junction, Nagpada, Mumbai","Nagpada, Mumbai",461,0.86,Potential Match
CCTV-0082-01,0761/2026,Md. Gaurang Khosla,2026-07-25 06:59:55,MH-CCTV-3879,"Station Road Junction, Lower Parel, Mumbai","Lower Parel, Mumbai",392,0.98,Under Review
CCTV-0083-01,0126/2026,Md. Rishi Palla,2026-07-18 08:29:14,MH-CCTV-7145,"Market Entrance, Nagpada, Mumbai","Nagpada, Mumbai",289,0.65,Potential Match
CCTV-0084-01,0490/2026,Md. Balvan Kamdar,2026-08-01 22:14:25,MH-CCTV-4670,"Main Road Traffic Signal, Byculla West, Mumbai","Byculla West, Mumbai",636,0.73,Verified Match
CCTV-0085-01,0858/2026,Md. Isaac Natt,2026-08-27 07:17:23,MH-CCTV-8401,"Station Road Junction, Worli, Mumbai","Worli, Mumbai",490,0.88,Verified Match
CCTV-0086-01,0774/2026,Md. Wridesh Loke,2026-08-29 07:20:49,MH-CCTV-7192,"Shopping Lane Entrance, Agripada, Mumbai","Agripada, Mumbai",482,0.72,Under Review
CCTV-0086-02,0774/2026,Md. Wridesh Loke,2026-08-29 07:05:49,MH-CCTV-6395,"Main Road Traffic Signal, Worli, Mumbai","Worli, Mumbai",354,0.7,Verified Match
CCTV-0087-01,0708/2026,Md. Siddharth Roy,2026-07-25 14:17:30,MH-CCTV-1032,"Main Road Traffic Signal, Agripada, Mumbai","Agripada, Mumbai",318,0.7,Potential Match
CCTV-0088-01,0898/2026,Md. Andrew Cherian,2026-08-03 16:00:40,MH-CCTV-2307,"Station Road Junction, Dadar, Mumbai","Dadar, Mumbai",246,0.88,Verified Match
CCTV-0089-01,0538/2026,Md. Parth Pandya,2026-08-14 01:52:07,MH-CCTV-6326,"Shopping Lane Entrance, Kalachowki, Mumbai","Kalachowki, Mumbai",341,0.65,Under Review
CCTV-0090-01,0254/2026,Md. Bahadurjit Sinha,2026-08-24 03:16:26,MH-CCTV-6472,"Metro Access Road, Agripada, Mumbai","Agripada, Mumbai",722,0.92,Potential Match
CCTV-0090-02,0254/2026,Md. Bahadurjit Sinha,2026-08-24 05:58:26,MH-CCTV-2352,"Metro Access Road, Dadar, Mumbai","Dadar, Mumbai",793,0.76,Potential Match
CCTV-0091-01,0745/2026,Md. Mohammed Dave,2026-07-31 06:22:28,MH-CCTV-4135,"Station Road Junction, Byculla West, Mumbai","Byculla West, Mumbai",443,0.78,Under Review
CCTV-0091-02,0745/2026,Md. Mohammed Dave,2026-07-31 05:49:28,MH-CCTV-6472,"Bus Stop Junction, Kalachowki, Mumbai","Kalachowki, Mumbai",688,0.83,Verified Match
CCTV-0092-01,0603/2026,Md. Balvan Shroff,2026-07-09 17:03:27,MH-CCTV-9719,"Metro Access Road, Lower Parel, Mumbai","Lower Parel, Mumbai",429,0.88,Under Review
CCTV-0093-01,0492/2026,Md. Siddharth Chakrabarti,2026-08-15 04:07:19,MH-CCTV-3097,"Market Entrance, Agripada, Mumbai","Agripada, Mumbai",430,0.68,Potential Match
CCTV-0093-02,0492/2026,Md. Siddharth Chakrabarti,2026-08-15 01:19:19,MH-CCTV-6004,"Metro Access Road, Agripada, Mumbai","Agripada, Mumbai",603,0.84,Under Review
